Frequency (Hz)	Level (dB)
5138.671875	-86.969925
5144.531250	-87.764328
5150.390625	-88.663956
5156.250000	-89.843819
5162.109375	-89.671257
5167.968750	-88.157875
5173.828125	-87.976791
5179.687500	-88.271759
5185.546875	-88.407471
5191.406250	-91.306641
5197.265625	-91.415855
5203.125000	-90.917633
5208.984375	-92.939354
5214.843750	-93.842506
5220.703125	-92.696777
5226.562500	-92.121223
5232.421875	-90.830070
5238.281250	-91.930267
5244.140625	-93.238960
5250.000000	-93.515770
5255.859375	-91.663712
5261.718750	-90.267273
5267.578125	-88.392769
5273.437500	-88.096909
5279.296875	-84.774544
5285.156250	-82.327744
5291.015625	-74.881111
5296.875000	-68.798370
5302.734375	-62.141308
5308.593750	-55.391159
5314.453125	-55.331600
5320.312500	-54.934502
5326.171875	-56.801334
5332.031250	-59.521225
5337.890625	-63.144249
5343.750000	-70.453690
5349.609375	-75.037384
5355.468750	-77.188690
5361.328125	-73.231133
5367.187500	-69.274521
5373.046875	-68.971535
5378.906250	-73.533379
5384.765625	-81.220245
5390.625000	-83.923561
5396.484375	-85.704399
5402.343750	-85.066414
5408.203125	-84.719238
5414.062500	-85.468697
5419.921875	-87.620331
5425.781250	-86.520332
5431.640625	-84.569077
5437.500000	-84.802544
5443.359375	-84.557251
5449.218750	-83.423759
5455.078125	-84.304375
5460.937500	-85.271080
5466.796875	-86.508621
5472.656250	-86.385208
5478.515625	-84.030624
5484.375000	-82.268272
5490.234375	-83.900391
5496.093750	-81.763184
5501.953125	-81.056458
5507.812500	-81.357880
5513.671875	-83.258156
5519.531250	-85.254929
5525.390625	-86.074097
5531.250000	-84.201134
5537.109375	-82.238823
5542.968750	-82.957405
5548.828125	-82.802231
5554.687500	-84.268791
5560.546875	-83.829941
5566.406250	-83.453278
5572.265625	-85.153503
5578.125000	-86.872696
5583.984375	-86.801041
5589.843750	-86.296753
5595.703125	-83.481308
5601.562500	-85.096138
5607.421875	-83.225670
5613.281250	-81.051514
5619.140625	-79.476059
5625.000000	-79.435730
5630.859375	-81.073082
5636.718750	-83.767754
5642.578125	-84.713242
5648.437500	-86.458778
5654.296875	-84.711754
5660.156250	-83.934174
5666.015625	-81.472427
