Frequency (Hz)	Level (dB)
3962.109375	-58.909161
3967.492676	-52.412998
3972.875977	-53.176708
3978.259277	-52.314358
3983.642578	-50.530529
3989.025879	-50.563103
3994.409180	-53.998817
3999.792480	-64.244965
4005.175781	-76.937500
4010.559082	-78.008072
4015.942383	-80.110207
4021.325684	-78.977730
4026.708984	-81.007927
4032.092285	-81.879105
4037.475586	-84.964302
4042.858887	-86.677261
4048.242188	-86.948723
4053.625488	-86.169044
4059.008789	-88.015976
4064.392090	-87.680756
4069.775391	-87.788429
4075.158691	-87.974998
4080.541992	-87.087776
4085.925293	-87.098579
4091.308594	-87.154907
4096.691895	-87.632217
4102.075195	-87.804825
4107.458496	-86.257912
4112.841797	-87.464851
4118.225098	-86.449333
4123.608398	-84.691757
4128.991699	-85.901756
4134.375000	-89.622345
4139.758301	-89.299675
4145.141602	-88.610443
4150.524902	-87.129997
4155.908203	-85.822426
4161.291504	-89.021332
4166.674805	-87.460312
4172.058105	-89.192955
4177.441406	-90.487885
4182.824707	-91.378792
4188.208008	-89.287384
4193.591309	-86.176712
4198.974609	-85.276047
4204.357910	-87.350433
4209.741211	-85.446182
4215.124512	-85.397255
4220.507812	-87.432472
4225.891113	-86.566269
4231.274414	-87.045631
4236.657715	-88.752403
4242.041016	-89.631302
4247.424316	-88.805458
4252.807617	-87.987572
4258.190918	-88.334846
4263.574219	-87.334160
4268.957520	-86.729462
4274.340820	-86.962357
4279.724121	-88.814270
4285.107422	-87.289719
4290.490723	-87.059105
4295.874023	-84.804359
4301.257324	-84.528481
4306.640625	-85.868057
4312.023926	-85.787308
4317.407227	-87.729645
4322.790527	-87.746857
4328.173828	-86.661011
4333.557129	-89.140305
4338.940430	-88.599129
4344.323730	-90.735664
4349.707031	-90.203560
4355.090332	-88.075287
4360.473633	-87.975456
4365.856934	-89.030617
4371.240234	-86.299736
4376.623535	-83.351845
4382.006836	-85.827515
4387.390137	-87.776344
4392.773438	-81.346352
4398.156738	-72.960579
4403.540039	-62.351757
4408.923340	-56.945736
4414.306641	-59.041336
4419.689941	-59.989388
4425.073242	-58.038143
4430.456543	-55.378811
4435.839844	-54.887089
4441.223145	-59.249920
4446.606445	-72.778458
4451.989746	-80.382912
4457.373047	-82.520065
4462.756348	-84.000885
4468.139648	-84.927986
4473.522949	-84.333641
4478.906250	-85.137314
4484.289551	-87.793304
4489.672852	-91.221352
4495.056152	-87.707039
4500.439453	-89.292076
4505.822754	-91.083618
4511.206055	-88.128799
4516.589355	-86.992363
4521.972656	-86.912270
4527.355957	-88.554901
4532.739258	-88.352867
4538.122559	-89.837036
4543.505859	-87.160423
4548.889160	-84.913330
4554.272461	-85.419060
4559.655762	-84.148048
4565.039062	-84.044502
4570.422363	-84.140991
4575.805664	-86.471390
4581.188965	-87.173630
4586.572266	-84.605469
4591.955566	-83.180511
4597.338867	-82.713005
4602.722168	-81.858940
4608.105469	-82.778282
4613.488770	-84.087143
4618.872070	-82.349266
4624.255371	-84.314545
4629.638672	-82.503456
4635.021973	-81.779938
4640.405273	-83.109535
4645.788574	-83.064011
4651.171875	-80.837463
4656.555176	-80.688759
4661.938477	-81.686523
4667.321777	-82.716499
4672.705078	-82.392181
4678.088379	-82.423378
4683.471680	-83.849503
4688.854980	-81.904831
4694.238281	-82.944809
4699.621582	-82.374405
4705.004883	-82.402489
