Frequency (Hz)	Level (dB)
3359.179688	-80.282997
3364.562988	-82.784012
3369.946289	-82.810249
3375.329590	-74.118530
3380.712891	-76.490685
3386.096191	-90.347794
3391.479492	-86.620308
3396.862793	-81.636696
3402.246094	-90.602264
3407.629395	-85.965782
3413.012695	-85.067856
3418.395996	-96.061096
3423.779297	-87.972878
3429.162598	-83.484169
3434.545898	-92.815308
3439.929199	-95.058357
3445.312500	-90.726013
3450.695801	-87.521553
3456.079102	-90.387146
3461.462402	-101.059807
3466.845703	-96.494392
3472.229004	-95.231949
3477.612305	-74.728432
3482.995605	-67.370102
3488.378906	-70.433113
3493.762207	-82.757912
3499.145508	-94.224327
3504.528809	-89.452896
3509.912109	-89.390106
3515.295410	-89.305443
3520.678711	-88.147789
3526.062012	-83.903763
3531.445312	-83.468567
3536.828613	-88.620270
3542.211914	-90.051353
3547.595215	-84.561035
3552.978516	-82.168716
3558.361816	-83.566933
3563.745117	-84.458542
3569.128418	-79.852669
3574.511719	-81.408012
3579.895020	-87.212059
3585.278320	-92.354904
3590.661621	-81.949936
3596.044922	-77.397934
3601.428223	-74.182610
3606.811523	-70.209373
3612.194824	-70.243942
3617.578125	-68.259163
3622.961426	-61.296387
3628.344727	-55.222511
3633.728027	-37.204609
3639.111328	-33.371929
3644.494629	-39.566757
3649.877930	-51.710682
3655.261230	-61.353786
3660.644531	-67.253677
3666.027832	-71.956062
3671.411133	-84.037109
3676.794434	-84.777519
3682.177734	-76.601570
3687.561035	-80.105965
3692.944336	-84.066971
3698.327637	-90.930771
3703.710938	-80.160484
3709.094238	-80.964241
3714.477539	-79.720871
3719.860840	-90.416397
3725.244141	-83.181313
3730.627441	-75.331161
3736.010742	-71.460976
3741.394043	-75.657127
3746.777344	-81.640694
3752.160645	-86.056931
3757.543945	-85.625450
3762.927246	-86.210716
3768.310547	-86.175056
3773.693848	-89.271027
3779.077148	-85.417313
3784.460449	-87.624802
3789.843750	-86.585373
3795.227051	-89.288216
3800.610352	-92.853989
3805.993652	-92.093613
3811.376953	-93.353317
3816.760254	-85.971344
3822.143555	-84.716827
3827.526855	-85.505516
3832.910156	-86.229210
3838.293457	-89.739105
3843.676758	-84.883476
3849.060059	-87.814026
